Date,Open,High,Low,Close,Volume,Adj Close
2016-08-04,16.25,16.48,14.49,15.0,8841000,15.0
2016-08-05,15.0,16.26,15.0,15.31,2280900,15.31
2016-08-08,15.3,15.5,15.0,15.0,376700,15.0
2016-08-09,15.04,15.32,14.75,15.21,634700,15.21
2016-08-10,15.16,15.649000000000001,15.1,15.38,116300,15.38
2016-08-11,15.35,15.89,15.35,15.73,229000,15.73
2016-08-12,15.74,15.74,15.14,15.26,148900,15.26
2016-08-15,15.18,15.42,15.15,15.24,143400,15.24
2016-08-16,15.06,15.36,15.04,15.29,159800,15.29
2016-08-17,15.27,15.28,14.95,15.01,219400,15.01
2016-08-18,15.01,15.25,15.01,15.15,144800,15.15
2016-08-19,15.25,15.25,15.0,15.08,275700,15.08
2016-08-22,15.03,15.38,15.0,15.0,84600,15.0
2016-08-23,15.73,17.02,15.55,16.35,1317800,16.35
2016-08-24,16.389999,16.84,16.0,16.24,410400,16.24
2016-08-25,16.25,16.4,16.0,16.08,144500,16.08
2016-08-26,16.08,16.379998999999998,16.021,16.08,167100,16.08
2016-08-29,16.219998999999998,16.34,15.8,15.8,179000,15.8
2016-08-30,15.8,15.95,15.55,15.64,124400,15.64
2016-08-31,15.55,15.565999999999999,15.04,15.25,218800,15.25
2016-09-01,15.37,15.37,15.12,15.33,153100,15.33
2016-09-02,15.28,15.57,15.2,15.37,136100,15.37
2016-09-06,15.22,15.275,14.39,14.63,678000,14.63
2016-09-07,14.55,14.6,12.46,12.95,1511600,12.95
2016-09-08,13.0,13.0,12.0,12.1,724700,12.1
2016-09-09,12.0,12.36,11.71,12.06,346100,12.06
2016-09-12,11.73,12.22,11.6,11.72,286600,11.72
2016-09-13,11.58,12.68,11.58,12.45,799400,12.45
2016-09-14,13.38,13.74,12.48,12.63,1813700,12.63
2016-09-15,12.63,12.853,12.1,12.59,609700,12.59
2016-09-16,12.59,13.5,12.559000000000001,13.45,785600,13.45
2016-09-19,13.48,13.89,13.464,13.87,234400,13.87
2016-09-20,13.89,14.18,13.82,14.01,245700,14.01
2016-09-21,14.29,14.87,14.23,14.75,329900,14.75
2016-09-22,14.86,14.86,14.65,14.7,344600,14.7
2016-09-23,14.74,14.79,14.08,14.66,243400,14.66
2016-09-26,14.66,14.7,14.49,14.53,145000,14.53
2016-09-27,14.5,14.7,14.5,14.53,171200,14.53
2016-09-28,14.56,15.199000000000002,14.49,14.79,363800,14.79
2016-09-29,14.7,15.3,14.7,15.07,194800,15.07
2016-09-30,15.06,15.49,14.97,15.15,995800,15.15
2016-10-03,15.15,15.27,13.99,13.99,550700,13.99
2016-10-04,13.9,13.9,13.29,13.41,434400,13.41
2016-10-05,13.41,14.05,12.82,13.71,431300,13.71
2016-10-06,13.61,13.64,13.11,13.6,217600,13.6
2016-10-07,13.55,13.695,13.33,13.6,259200,13.6
2016-10-10,13.49,13.93,13.36,13.69,274600,13.69
2016-10-11,13.62,13.74,13.29,13.4,172600,13.4
2016-10-12,13.35,13.41,13.0,13.04,170600,13.04
2016-10-13,13.0,13.14,12.87,12.95,131800,12.95
2016-10-14,12.93,12.98,12.57,12.64,166600,12.64
2016-10-17,12.64,12.93,12.59,12.81,225000,12.81
2016-10-18,12.82,13.062000000000001,12.77,12.89,166200,12.89
2016-10-19,12.93,12.97,12.65,12.68,63200,12.68
2016-10-20,12.65,12.685,12.45,12.51,210600,12.51
2016-10-21,12.43,12.43,12.06,12.18,278900,12.18
2016-10-24,12.28,12.73,12.28,12.49,136800,12.49
2016-10-25,12.45,12.45,11.79,11.8,300200,11.8
2016-10-26,11.84,11.91,11.14,11.26,358700,11.26
2016-10-27,11.33,11.44,11.07,11.18,308100,11.18
2016-10-28,11.14,11.56,11.14,11.25,110600,11.25
2016-10-31,11.31,11.33,11.14,11.2,117800,11.2
2016-11-01,11.21,11.32,11.014000000000001,11.31,202200,11.31
2016-11-02,11.33,11.42,10.85,11.08,187800,11.08
2016-11-03,11.11,11.19,10.71,10.74,129300,10.74
2016-11-04,10.81,10.86,10.54,10.6,141700,10.6
2016-11-07,10.64,11.03,10.55,10.88,149000,10.88
2016-11-08,10.91,11.01,10.36,10.53,111800,10.53
2016-11-09,10.63,10.93,10.19,10.78,111800,10.78
2016-11-10,10.78,11.14,10.72,11.0,231400,11.0
2016-11-11,11.02,11.6,11.02,11.25,281300,11.25
2016-11-14,11.3,11.59,11.277000000000001,11.4,152400,11.4
2016-11-15,11.33,11.462,11.33,11.44,86200,11.44
2016-11-16,11.37,11.45,11.18,11.21,142900,11.21
2016-11-17,11.33,11.47,11.05,11.35,77600,11.35
2016-11-18,11.38,11.9,11.38,11.76,87200,11.76
2016-11-21,11.74,12.08,11.57,12.05,122700,12.05
2016-11-22,12.03,12.25,11.79,12.13,132900,12.13
2016-11-23,12.13,12.46,11.94,12.19,135400,12.19
2016-11-25,12.25,12.66,12.25,12.6,78700,12.6
2016-11-28,12.51,12.66,12.2,12.34,76800,12.34
2016-11-29,12.38,12.725,12.3,12.68,188000,12.68
2016-11-30,13.2,13.57,12.7,12.88,432600,12.88
2016-12-01,12.99,13.01,12.342,12.46,114600,12.46
2016-12-02,12.59,12.86,12.4,12.73,150700,12.73
2016-12-05,12.8,13.81,12.8,13.61,404800,13.61
2016-12-06,13.55,14.49,13.5,14.13,494700,14.13
2016-12-07,14.31,14.39,13.85,14.14,312800,14.14
2016-12-08,14.16,14.28,14.02,14.15,171300,14.15
2016-12-09,14.23,14.26,14.0,14.18,253500,14.18
